Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2010,Alabama,15.6,6.3,23.9,54.2,"Alabama
(32.840569999605975, -86.63186000013877)"
2010,Alaska,13.5,6.8,26.1,53.6,"Alaska
(64.84507999974238, -147.72205999986895)"
2010,Arizona,10.7,4.4,27.9,57.1,"Arizona
(34.86596999961597, -111.76380999973156)"
2010,Arkansas,17.3,5.6,24.1,53,"Arkansas
(34.748649999697875, -92.27448999971358)"
2010,California,7.5,4.6,23.1,64.8,"California
(37.638300000444815, -120.99958999997835)"
2010,Colorado,11.4,4.6,24.7,59.3,"Colorado
(38.842890000173554, -106.13314000041055)"
2010,Connecticut,9.2,4,29.2,57.6,"Connecticut
(41.56265999995918, -72.6498400002157)"
2010,Delaware,12.8,4.5,26.8,56,"Delaware
(39.00883000020451, -75.57774000040052)"
2010,District of Columbia,10,5.7,23.4,61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2010,Florida,12,5.2,29.8,53,"Florida
(28.932039999846268, -81.9289599999039)"
2010,Georgia,12.8,4.8,23.1,59.3,"Georgia
(32.83967999993223, -83.62758000031658)"
2010,Guam,19.7,6.1,16.6,57.6,"(13.45, 144.7833)"
2010,Hawaii,10.7,3.8,25.3,60.2,"Hawaii
(21.304850000427336, -157.85774999956269)"
2010,Idaho,11.3,4.4,22.9,61.5,"Idaho
(43.682590000228515, -114.36368000023168)"
2010,Illinois,11.5,5.4,23.6,59.5,"Illinois
(40.485010000411364, -88.99770999971656)"
2010,Indiana,16.3,5,25.1,53.7,"Indiana
(39.76690999989677, -86.14996000035359)"
2010,Iowa,12.1,4.1,23.4,60.4,"Iowa
(42.469390000048634, -93.81649000001335)"
2010,Kansas,11.9,5.1,24.2,58.8,"Kansas
(38.34774000000118, -98.20077999969709)"
2010,Kentucky,19.3,5.5,26,49.2,"Kentucky
(37.645969999815804, -84.77496999996538)"
2010,Louisiana,15.9,6.2,22,56,"Louisiana
(31.31265999975932, -92.44567999993188)"
2010,Maine,13.9,4.3,30.2,51.6,"Maine
(45.25423000041434, -68.9850299999344)"
2010,Maryland,10.5,4.7,23.9,60.9,"Maryland
(39.29057999976732, -76.6092600004485)"
2010,Massachusetts,10.2,3.9,29.3,56.6,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2010,Michigan,13.5,5.4,25.3,55.7,"Michigan
(44.661320000317914, -84.71438999959867)"
2010,Minnesota,11.3,3.6,25.9,59.2,"Minnesota
(46.3556499998478, -94.79419999982997)"
2010,Mississippi,17.1,5.8,22,55,"Mississippi
(32.7455100000866, -89.53803000008429)"
2010,Missouri,16.6,4.4,26.1,52.8,"Missouri
(38.63578999960896, -92.5663000000448)"
2010,Montana,13.5,5.3,27.2,54,"Montana
(47.06653000015956, -109.42441999998289)"
2010,Nationwide (States and DC),12.4,4.8,25.1,56.6,
2010,"Nationwide (States, DC, and Territories)",12.3,4.8,24.7,56.8,
2010,Nebraska,12.5,4.7,25.2,57.6,"Nebraska
(41.6410400000961, -99.36572999973953)"
2010,Nevada,16.5,4.9,25.8,52.8,"Nevada
(39.49323999972637, -117.07183999971608)"
2010,New Hampshire,12.4,4.5,30.7,52.4,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2010,New Jersey,10.2,4.2,26.1,59.4,"New Jersey
(40.13056999960594, -74.2736899996936)"
2010,New Mexico,11.4,7.1,24.7,56.9,"New Mexico
(34.52088000011207, -106.24057999976702)"
2010,New York,10.5,5,26.8,57.8,"New York
(42.82699999955048, -75.54396999981549)"
2010,North Carolina,14.3,5.4,24.5,55.8,"North Carolina
(35.46624999963797, -79.1593199999179)"
2010,North Dakota,12.2,5.1,24.1,58.6,"North Dakota
(47.475320000018144, -100.11841999998285)"
2010,Ohio,17.1,5.4,24.6,52.9,"Ohio
(40.06020999969189, -82.40426000019869)"
2010,Oklahoma,17.5,6.2,24.3,52,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2010,Oregon,11,4.1,28.2,56.7,"Oregon
(44.567449999917756, -120.15502999983448)"
2010,Pennsylvania,13.4,5,26.2,55.4,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2010,Puerto Rico,7.5,4.4,17.3,70.8,"Puerto Rico
"
2010,Rhode Island,10.9,4.8,28.4,55.9,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2010,South Carolina,14,7,24.1,54.9,"South Carolina
(33.99855000018255, -81.0452500001872)"
2010,South Dakota,11.3,4.1,27,57.6,"South Dakota
(44.353130000049646, -100.37353000040906)"
2010,Tennessee,15.7,4.4,22.9,57,"Tennessee
(35.68094000038087, -85.77449000011325)"
2010,Texas,10.5,5.3,21.3,62.9,"Texas
(31.82724000022597, -99.42676999973554)"
2010,Utah,6.4,2.7,14.3,76.6,"Utah
(39.36070000030492, -111.58712999994941)"
2010,Vermont,11.1,4.2,30.7,54,"Vermont
(43.625379999687425, -72.51764000028561)"
2010,Virginia,14.5,4,24.4,57,"Virginia
(37.54268000028196, -78.45789000012326)"
2010,Virgin Islands,3.6,2.2,10.5,83.7,"(18.3333, -64.8333)"
2010,Washington,11,4.2,25.5,59.3,"Washington
(47.522280000022135, -120.47001000026114)"
2010,West Virginia,23.2,3.6,24.4,48.8,"West Virginia
(38.66550999958696, -80.71263999973604)"
2010,Wisconsin,13.6,5.5,26.3,54.6,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2010,Wyoming,14.9,4.6,24.6,55.9,"Wyoming
(43.23553999957147, -108.10982999975454)"
2009,Alabama,16.5,6,22.8,54.6,"Alabama
(32.840569999605975, -86.63186000013877)"
2009,Alaska,14.7,5.9,28.1,51.3,"Alaska
(64.84507999974238, -147.72205999986895)"
2009,Arizona,11,5.1,26,57.8,"Arizona
(34.86596999961597, -111.76380999973156)"
2009,Arkansas,15.5,5.9,28.1,50.4,"Arkansas
(34.748649999697875, -92.27448999971358)"
2009,California,8.1,4.7,23.2,63.9,"California
(37.638300000444815, -120.99958999997835)"
2009,Colorado,12.1,5,25.5,57.4,"Colorado
(38.842890000173554, -106.13314000041055)"
2009,Connecticut,10.7,4.7,28.2,56.3,"Connecticut
(41.56265999995918, -72.6498400002157)"
2009,Delaware,13.3,5,28.4,53.4,"Delaware
(39.00883000020451, -75.57774000040052)"
2009,District of Columbia,9.1,6.2,24.2,60.6,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2009,Florida,12.8,4.3,27.6,55.3,"Florida
(28.932039999846268, -81.9289599999039)"
2009,Georgia,12.6,5.1,22,60.3,"Georgia
(32.83967999993223, -83.62758000031658)"
2009,Guam,18.9,5.2,11.1,64.8,"(13.45, 144.7833)"
2009,Hawaii,10.4,5,26.9,57.7,"Hawaii
(21.304850000427336, -157.85774999956269)"
2009,Idaho,12.3,4,22.1,61.6,"Idaho
(43.682590000228515, -114.36368000023168)"
2009,Illinois,12,6.6,23.1,58.3,"Illinois
(40.485010000411364, -88.99770999971656)"
2009,Indiana,17.1,6,23.7,53.2,"Indiana
(39.76690999989677, -86.14996000035359)"
2009,Iowa,13.4,3.8,24.2,58.7,"Iowa
(42.469390000048634, -93.81649000001335)"
2009,Kansas,13.2,4.6,23.3,58.8,"Kansas
(38.34774000000118, -98.20077999969709)"
2009,Kentucky,20.6,5,25.3,49.1,"Kentucky
(37.645969999815804, -84.77496999996538)"
2009,Louisiana,16.4,5.7,23.2,54.7,"Louisiana
(31.31265999975932, -92.44567999993188)"
2009,Maine,12.5,4.7,31.1,51.6,"Maine
(45.25423000041434, -68.9850299999344)"
2009,Maryland,10.4,4.8,23.4,61.5,"Maryland
(39.29057999976732, -76.6092600004485)"
2009,Massachusetts,10.9,4,28.5,56.6,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2009,Michigan,13.7,5.9,25.5,54.9,"Michigan
(44.661320000317914, -84.71438999959867)"
2009,Minnesota,11.3,5.5,26.4,56.8,"Minnesota
(46.3556499998478, -94.79419999982997)"
2009,Mississippi,17.1,6.3,22.1,54.6,"Mississippi
(32.7455100000866, -89.53803000008429)"
2009,Missouri,18.3,4.8,24.8,52.1,"Missouri
(38.63578999960896, -92.5663000000448)"
2009,Montana,12.2,4.6,26.4,56.8,"Montana
(47.06653000015956, -109.42441999998289)"
2009,Nationwide (States and DC),12.8,5,25.5,55.3,
2009,"Nationwide (States, DC, and Territories)",12.7,5,25.5,55.5,
2009,Nebraska,12.9,3.8,24.6,58.7,"Nebraska
(41.6410400000961, -99.36572999973953)"
2009,Nevada,15.8,6.3,26.5,51.4,"Nevada
(39.49323999972637, -117.07183999971608)"
2009,New Hampshire,11.3,4.5,29.4,54.9,"New Hampshire
(43.65595000019255, -71.50036000041354)"
